表,裏
股関節を構成する骨は？,寛骨と大腿骨
股関節は何関節か？,球関節
股関節の運動方向は？,屈曲・伸展・内転・外転・内旋・外旋の3軸方向
股関節の安定性を骨性に支える構造は？,寛骨臼が大腿骨頭を深く覆う構造
成人の頚体角は？,約125～130°
成人の前捻角は？,約20～25°
転子間線と転子間稜の位置は？,転子間線は前面、転子間稜は後面
股関節前面の視診ランドマークは？,前大腿部と大腿三角
股関節前面で触診可能な骨性隆起は？,腸骨稜、上前腸骨棘、大転子、恥骨結合
股関節前面で触知可能な筋は？,大腿筋膜張筋、大腿直筋、縫工筋、外側広筋
股関節後面の視診ランドマークは？,殿部と後大腿部
股関節後面で触診可能な骨性隆起は？,腸骨稜、上後腸骨棘、仙骨、大転子、坐骨結節
Scarpa三角を形成する構造は？,鼡径靱帯、長内転筋、縫工筋
Scarpa三角内を走行する血管は？,大腿動脈、静脈、神経
股関節の関節外靱帯を3つ挙げよ,腸骨大腿靱帯、恥骨大腿靱帯、坐骨大腿靱帯
股関節の関節内靱帯は？,大腿骨頭靱帯
大腿骨頭靱帯の役割は？,関節支持性の補助
発育性股関節形成不全で問題となる大腿骨頭靱帯の変化は？,肥厚して整復を妨げる
股関節屈曲の単関節筋は？,大腰筋、小腰筋、腸骨筋
股関節屈曲の二関節筋は？,大腿直筋、大腿筋膜張筋、縫工筋
股関節伸展の単関節筋は？,大殿筋
股関節伸展の二関節筋は？,半腱様筋、半膜様筋、大腿二頭筋長頭
股関節外転の単関節筋は？,中殿筋、小殿筋
股関節外転の二関節筋は？,大腿筋膜張筋、縫工筋
股関節内転の単関節筋は？,恥骨筋、短内転筋、長内転筋、大内転筋
股関節内転の二関節筋は？,薄筋
股関節外旋の単関節筋は？,梨状筋、内閉鎖筋、上双子筋、下双子筋、大腿方形筋、外閉鎖筋
股関節内旋の単関節筋は？,中殿筋、小殿筋（股関節屈曲位で）
外腸骨動脈は鼡径靱帯をくぐった後何動脈になる？,大腿動脈
大腿深動脈の主な分枝は？,外側大腿回旋動脈、内側大腿回旋動脈
閉鎖動脈の末梢枝で大腿骨頭に血流を送る動脈は？,大腿骨頭靱帯動脈
腰神経叢由来の主な神経3つは？,大腿神経、閉鎖神経、外側大腿皮神経
仙骨神経叢由来の主な神経3つは？,坐骨神経、上殿神経、下殿神経
鼡径部痛症候群の原因は？,股関節への過度な運動負荷
梨状筋症候群の原因は？,梨状筋と上双子筋の間で坐骨神経が絞扼される
感覚異常性大腿痛の原因は？,外側大腿皮神経の圧迫
股関節X線正面像の撮影時の下肢の位置は？,軽度内旋
股関節軸位像の撮影肢位は？,患側伸展位・健側屈曲位で頚部軸方向に撮影
Lauenstein像の撮影肢位は？,仰臥位で股関節屈曲90°・外転40°
MRIルーチン撮像の断面は？,冠状断、水平断（必要に応じ矢状断）
関節唇や軟骨の詳細評価に用いるMRIシーケンスは？,プロトン密度強調像
