"大腿骨頚部は骨幹部と何をなしているか？","頚体角"
"大腿骨頚部内側のよく発達した骨皮質は何と呼ばれるか？","Adams弓"
"大腿骨頚部海綿骨の骨梁配列を何というか？","Paccuard-Meyer線"
"主引っぱり骨梁の走行はどこからどこか？","大転子下部から骨頭下部へ弓状に走る"
"副引っぱり骨梁の走行はどこからどこか？","大転子下部から小転子へ"
"主圧迫骨梁の走行はどこからどこか？","Adams弓部から骨頭上部へ"
"副圧迫骨梁の走行はどこからどこか？","Adams弓部から大転子方向へ"
"大腿骨頚部骨折は関節内骨折であるが、関節包損傷がない場合、出血はどこにとどまるか？","関節腔内"
"大腿骨頚部骨折で典型的転位が起きた場合の肢位は？","患肢短縮・内転・外旋位"
"大腿骨頚部骨折の原因として最も多いものは何か？","転倒"
"頚部骨折が原因で転倒することはあるか？","ある（下肢外旋で発生し、その結果転倒）"
"大腿骨頚部骨折の分類で骨折線の走行によるものは何か？","Pauwels分類"
"大腿骨頚部骨折の分類で転位の程度によるものは何か？","Garden分類"
"Garden分類のStage Iの特徴は？","不完全骨折（内側で骨性連続が残存）"
"Garden分類のStage IIの特徴は？","完全骨折・最小転位（嵌合し軽度外反位、軟部組織連続性あり）"
"Garden分類のStage IIIの特徴は？","完全骨折・転位（Weibrecht支帯連続性あり、血行一部保たれる）"
"Garden分類のStage IVの特徴は？","完全骨折・転位（Weibrecht支帯断裂、骨頭血行途絶）"
"Garden分類で保存療法が可能なステージは？","Stage I, II"
"Garden分類で牽引整復後に骨接合術を行う場合があるステージは？","Stage III"
"Garden分類で人工骨頭置換術が選択されるステージは？","Stage IV"
"大腿骨頚部骨折の主な合併症を2つ挙げよ","骨癒合不全、大腿骨頭壊死"
"若年者の大腿骨頚部骨折の特徴は？","高エネルギー外傷によることが多い"
"糖尿病と大腿骨近位骨折リスクの関係は？","1型は約6倍、2型は1.4〜1.7倍"
"メタボリック症候群や脂質異常症と骨折リスクの関係は？","骨折リスクは低い"
"高血圧・動脈石灰化・虚血性心疾患と骨折リスクの関係は？","結果は一致していない"
