脊椎疾患の主訴で多いものは？,痛みや歩行障害
痛みの問診で用いる頭文字法は？,OPQRST
OPQRSTのOは何を意味する？,Onset：発症時期や経過
OPQRSTのPは何を意味する？,Provocation/Palliative factor：増悪・寛解因子
OPQRSTのQは何を意味する？,Quality：性状
OPQRSTのRは何を意味する？,Region/Radiation/Related symptoms：部位・放散・関連症状
OPQRSTのSは何を意味する？,Severity：強さ
OPQRSTのTは何を意味する？,Temporal characteristics：時間的変化
痛みの程度評価に用いる方法は？,VASまたはNRS
痛みの部位を患者が記入する図の名称は？,pain drawing
腰痛でred flagとなる症状は？,夜間痛や灼熱痛（burning pain）
歩行障害の有無を確認する理由は？,間欠跛行や腰椎由来の異常を把握するため
受診までの治療内容で確認すべきは？,牽引・薬剤・ブロック治療の効果と持続時間
既往歴・合併症の確認で特に重要な疾患は？,後縦靭帯骨化症（OPLL）
家族歴が重要になる疾患は？,先天性疾患、脊柱変形、OPLL
立位評価で確認することは？,立位バランス、片脚起立、可動域
Trendelenburg徴候は何を示す？,中殿筋や股関節外転筋の筋力低下
Romberg徴候の確認目的は？,深部知覚障害の有無
Mann試験の方法は？,踵とつま先を前後に並べて立ち保持可能かを確認
歩容観察で重要なことは？,歩き方、歩行補助具の使用、歩行速度
つぎ足歩行が不可能な場合に考える障害は？,小脳や脊髄後索障害
階段昇降観察の目的は？,下肢筋力やバランス機能の評価
疼痛による跛行は何と呼ぶ？,疼痛回避歩行（antalgic gait）
下肢長差による跛行は何と呼ぶ？,下肢長差による跛行
筋力低下や麻痺による跛行は何と呼ぶ？,筋力低下や麻痺による跛行
Duchenne歩行の特徴は？,体幹が患側に傾く
Trendelenburg徴候の歩行所見は？,遊脚期に健側骨盤が下がる
steppage gaitの特徴は？,下肢を高く持ち上げる歩行
steppage gaitの原因疾患を1つ挙げよ,腓骨神経麻痺、Charcot-Marie-Tooth病など
関節拘縮・変形による跛行は何と呼ぶ？,関節拘縮・変形による跛行
spastic gaitの特徴は？,膝を伸展し足を挙げ狭い歩幅で歩く
失調性歩行（ataxic gait）の原因は？,小脳障害や脊髄後索障害
間欠跛行の鑑別に必要な検査は？,末梢動脈疾患と馬尾症の鑑別
神経学的検査で確認するものは？,深部腱反射・知覚・筋力・筋萎縮
Tinel徴候が陽性を示す病態は？,末梢神経障害や絞扼性神経障害
頚椎の神経伸張テスト例は？,Spurlingテスト、水野テスト
腰椎の神経伸張テスト例は？,SLRテスト、大腿神経伸展テスト（FNST）
手の巧緻性評価の方法は？,finger escape sign、10秒テスト
頚椎前屈で計測する距離は？,chin-chest distance
腰椎前屈で計測する距離は？,finger-floor distance

