問題,回答
後縦靱帯骨化症（OPLL）や黄色靱帯骨化症（OLF）が単純撮影で不明瞭な場合、何で評価するか？,CT（MPR）
OPLLで評価する項目を3つ挙げよ,骨化分類、骨化占拠率、有効脊柱管前後径（SAC）
強直性脊椎骨増殖症の略称は？,ASH
びまん性特発性骨増殖症の略称は？,DISH
RA頚椎で環軸関節亜脱臼（AAS）を評価する指標2つは？,ADIとSAC
垂直性亜脱臼（VS）の評価に用いる3つの計測は？,Ranawat値、Redlund–Johnell値、McGregor線から歯突起先端までの距離
排尿障害がある患者で泌尿器科受診前に行うべき検査は？,残尿測定（自尿量と残尿量の記録）
急激な尿閉など高度排尿障害は何を疑い緊急精査が必要か？,重症な馬尾あるいは脊髄障害
骨粗鬆症と鑑別すべき骨代謝疾患を3つ挙げよ,骨軟化症、副甲状腺機能亢進症、低リン血症性くる病
骨粗鬆症と鑑別すべき腫瘍疾患を2つ挙げよ,多発性骨髄腫、転移性脊椎腫瘍
骨粗鬆症と鑑別すべき感染疾患は？,脊椎炎
骨粗鬆症と鑑別するために必ず測定する血液検査項目を3つ挙げよ,血清Ca、血清P、ALP
骨粗鬆症の診断基準はYAMの何％以下または何SD以下か？,YAMの70％以下 または -2.5SD以下
骨量減少（osteopenia）のYAMおよびSDの範囲は？,-2.5SDより大きく-1.0SD未満
骨粗鬆症診断に用いられる画像検査法は？,DXA
DXAで測定する部位はどことどこか？,腰椎と大腿骨近位部
高齢者で腰椎測定が困難な場合、DXAで採用する値は？,大腿骨近位部と頚部の低い方の値
骨粗鬆症性椎体骨折の早期診断に有用な画像検査は？,MRI
新鮮骨折のMRI所見は？,T1強調画像で低信号、STIR画像で高信号
胸椎部の骨粗鬆症性椎体骨折でも多い主訴は？,腰殿部痛
新鮮骨折の不安定性評価に有用なX線撮影法は？,仰臥位と立位（または座位）側面像の比較
骨吸収マーカーの例を2つ挙げよ,TRACP-5b、NTX（またはCTX）
骨形成マーカーの例を2つ挙げよ,BAP、PINP
低カルボキシル化オステオカルシン（ucOC）は何の評価に用いるか？,ビタミンK不足
ステロイド性骨粗鬆症予防に推奨されるカルシウムとビタミンDの補充量は？,カルシウム1500mg/日、ビタミンD 800〜1000IU/日
ビスホスフォネート製剤は骨移植予定時に中止すべきか？,中止不要
二次性骨粗鬆症の原因となる薬剤を2つ挙げよ,抗痙攣薬、向精神薬
タモキシフェンは閉経前か閉経後どちらで二次性骨粗鬆症の原因となるか？,閉経前
thyroxineはどのような場合に二次性骨粗鬆症の原因となるか？,過剰量投与時
