問題,回答
頚椎側面中間位で計測する主な評価項目は何か？,"脊柱管前後径（DSSD, SSSD）、アライメント"
前後屈側面で評価する項目は何か？,不安定性の有無、dynamic canal stenosisの有無
ADI（atlanto dental interval）の正常値は？,小児4mm以下、成人3mm以下
SAC（space available for spinal cord）が10mm未満の意味は？,脊髄症状の危険性が高い
SACが13〜14mm未満で不安定性がある場合のリスクは？,脊髄症状の危険性が高まる
Ranawat値の正常値は？,男性13〜21mm、女性12〜21mm
Ranawat値が12〜13mm未満の意味は？,歯突起上方亜脱臼と判定
Redlund–Johnell値の正常値は？,男性31mm以上、女性29mm以上
頚椎脊柱管前後径（sagittal diameter）の日本人成人正常値は？,14mm以上
頚椎脊柱管前後径が12mm以下の意味は？,発育性脊柱管狭窄
dynamic canalが12mm以下の意味は？,pincers mechanismによる脊髄圧迫の危険性
pincers mechanismとは何か？,頚椎後屈時に椎間板が後方、黄色靱帯が前方へ膨隆し脊髄を挟み込む現象
頚椎前弯の計測方法は？,歯突起後面とC7椎体後下縁を結ぶ線と前弯頂点までの距離
頚椎弯曲指数の計算方法は？,C2-C7間切線に対するC3〜C6後下角からの垂線の長さの総和を切線長で除し100を掛ける
頚椎矢状面アライメントの前弯型の定義は？,C2-C7 Cobb角が10°以上
頚椎矢状面アライメントの直線型の定義は？,C2-C7 Cobb角が0〜10°
頚椎矢状面アライメントの後弯型の定義は？,C2-C7 Cobb角が0°以下
0-C2角が屈曲位に固定されると何が起こるか？,嚥下困難や呼吸困難
O-EA角の頚椎中間位での基準値は？,ほぼ90°
