問題,回答
C7PL（C7 plumb line）とCSVL（central sacral vertical line）の距離が何cm以上でcoronal imbalanceとされるか？,4cm以上
矢状面バランス（SVA）の正常範囲は何cm〜何cmか？,-5cm〜+5cm
SVAが何cmを超えると前傾姿勢が強くなり疼痛や機能障害悪化と関連するか？,5cm超
胸椎後弯角（T4〜T12）の平均値は何度か？,+41°
腰椎前弯角（T12〜S1）の平均値は何度か？,-62°
腰椎前弯角（L1〜L5）の平均値は何度か？,-44°
脊柱変形評価のX線撮影条件は？,全脊柱長尺正面・側面像を股関節と膝関節伸展位の自然立位姿勢と臥位で撮影する
脊柱変形評価が特に重要となる疾患や術後状態は？,成人脊柱変形、腰椎固定術（多椎間固定や隣接椎間障害）
C7PLとCSVLの距離が大きい場合に関連する症状は？,疼痛や機能障害
SVAが前方に大きく逸脱した場合の代償姿勢は？,骨盤を後傾させる
胸椎後弯角の測定範囲はどこからどこまでか？,T4椎体上縁からT12椎体下縁まで
腰椎前弯角（T12〜S1）の測定範囲はどこからどこまでか？,T12椎体下縁からS1椎体上縁まで
腰椎前弯角（L1〜L5）の測定範囲はどこからどこまでか？,L1椎体上縁からL5椎体下縁まで
