"皮質骨の基本構造は何と呼ばれるか？","オステオン（ハバース系）"
"ハバース管を横方向に連結する神経・血管の通路を何というか？","フォルクマン管（Volkmann管）"
"海綿骨の基本構造は何か？","骨小梁（trabecula）"
"骨幹部の皮質骨はどの層構造からなるか？","外層・内層・中間層"
"オステオン（ハバース系）は何を取り囲んで構成されるか？","ハバース管"
"皮質骨と海綿骨の構造は何とともに変化するか？","成長過程"
"骨基質の有機成分の主成分は何か？","コラーゲンⅠ型（約90%を占める）"
"骨基質の無機成分の主成分は何か？","ハイドロキシアパタイト（リン酸カルシウム）"
"オステオンは平均直径およそ何mmか？","約0.2mm（200μm）"
"皮質骨と海綿骨の割合は成人の大腿骨ではおよそどのくらいか？","皮質骨約80%、海綿骨約20%"
"骨芽細胞の主な働きは何か？","骨基質の形成と石灰化"
"破骨細胞の分化に必要な主要因子は何か？","RANKL（Receptor Activator of Nuclear factor κB Ligand）"
"骨細胞（osteocyte）はどこに存在するか？","骨基質内の骨小腔（lacuna）"
"加齢によって骨のどちらの割合が減少しやすいか？","海綿骨（特に骨梁の数と厚さが減少）"
"閉経後骨粗鬆症では主にどちらの骨構造が障害されるか？","海綿骨"
"長管骨骨幹部の骨折治癒で、初期に優位な骨構造は何か？","海綿骨様の編成骨（woven bone）"
"Volkmann管はハバース管とどのような方向に走行するか？","垂直または斜走して連結する"
"骨組織の血流は主に何を介して供給されるか？","栄養動脈（nutrient artery）"
"骨折時にまず損なわれやすい血管はどこか？","骨膜血管"
"骨膜は外側の何層と内側の何層から構成されるか？","外側の線維層と内側の細胞層"
"骨膜の内側の細胞層に含まれ、骨の成長に関与する細胞は何か？","骨前駆細胞"
"骨膜の線維層にわずかに存在し、外的刺激で骨芽細胞へ分化する細胞は何か？","骨膜細胞"
"骨膜由来の未分化間葉系細胞は骨折治癒のどの過程に関与するか？","骨の修復過程"
"頭蓋骨や鎖骨の一部は何という骨化様式で作られるか？","膜性骨化"
"四肢長管骨など大半の骨は何という骨化様式で作られるか？","軟骨内骨化"
"膜性骨化と軟骨内骨化の違いは何か？","膜性骨化は直接骨化し、軟骨内骨化は軟骨モデルを介して骨化する"
"骨膜の主な役割を2つ挙げよ","骨の成長と骨の修復"
"骨膜の血流供給は骨にとってどのような意味を持つか？","骨外層への栄養供給と骨形成細胞への支持"
"骨膜損傷が骨折治癒に及ぼす影響は何か？","骨形成遅延や骨癒合不全の原因となる"
"骨基質蛋白でもっとも多いのは何か？","I型コラーゲン（約90%）"
"骨基質蛋白のうちI型コラーゲン以外をまとめて何と呼ぶか？","非コラーゲン蛋白"
"I型コラーゲンは何本の鎖からなるか？","α1鎖2本とα2鎖1本の3本鎖"
"I型コラーゲンの三重らせん構造を英語で何というか？","triple helix"
"骨形成不全症1〜4型の原因となる遺伝子異常は何か？","I型コラーゲン遺伝子の変異"
"骨基質におけるミネラル以外の成分の役割は何か？","骨の材料特性の規定"
"古い骨が新しい骨に置換される過程を何というか？","骨リモデリング"
"骨リモデリングの主な役割は何か？","骨組織の劣化防止"
"骨リモデリングはどの順に進行するか？","骨吸収相→骨形成相→静止相"
"骨吸収相を担う細胞は何か？","破骨細胞"
"骨形成相を担う細胞は何か？","骨芽細胞"
"骨リモデリングにより修復される皮質骨の損傷を何というか？","微小骨折（マイクロクラック）"
"骨形成相の初期に形成される骨組織は何か？","類骨"
"類骨の次に形成される骨組織は何か？","石灰化骨"
"骨リモデリングの速度に影響を与える代表的ホルモンは何か？","副甲状腺ホルモン（PTH）"
"骨吸収と形成のバランスが崩れ、吸収が優位になると何が起こるか？","骨粗鬆症"
"リモデリングの単位となる微小構造を何というか？","骨多細胞単位（BMU: Basic Multicellular Unit）"
"骨の外形拡大や形態修正の総称を何というか？","骨モデリング"
"骨モデリングにおいて骨の外形が変化する主な要因は何か？","骨形成と骨吸収のバランス変化"
"骨モデリングに強い影響を与える因子は何か？","力学的負荷"
"破骨細胞はどのような形態を持つか？","直径20〜100μmの巨大な多核細胞"
"破骨細胞が存在する骨表面の吸収窩を何というか？","ハウシップ窩（Howship窩）"
"破骨細胞で強い活性を示す酵素は何か？","酒石酸抵抗性酸ホスファターゼ（TRAP）"
"臨床的に骨吸収マーカーとして用いられるTRAP由来の指標は何か？","TRACP5b"
"破骨細胞の骨吸収における膜構造の名称は何か？","波状縁"
"破骨細胞が骨吸収を行う際に分泌するものは何か？","酸や酵素"
