"骨盤骨折はまず何の破綻の有無により分類されるか？","骨盤輪の破綻の有無"
"Malgaigne骨折の発生機序は何か？","高所からの転落などによる垂直剪断力で前方・後方2か所の骨盤輪破綻"
"骨盤輪の破綻がない骨折の例を3つ挙げよ","上前腸骨棘裂離骨折、下前腸骨棘裂離骨折、坐骨結節裂離骨折"
"Duverney骨折とは何か？","直達外力による腸骨翼単独骨折"
"仙骨横骨折は骨盤輪破綻を伴うか？","伴わない（骨盤輪破綻なし骨折の一種）"
"骨盤輪骨折の3つの外力分類は何か？","前後方向圧迫型、側方外力型、垂直剪断型"
"open book型骨折とは何か？","前後方向の圧迫で恥骨結合が離開した骨折"
"跨座骨折の骨折型と特徴は何か？","安定型に分類されるが両側恥骨・坐骨の縦骨折で骨盤輪破綻あり"
"骨盤輪破綻を伴う骨折の臨床的特徴は何か？","重症度が高い"
"L5横突起骨折は何の重要な所見か？","骨盤不安定性を示す重要所見"
"仙棘靱帯付着部裂離骨折は何の重要な所見か？","骨盤不安定性を示す重要所見"
"仙骨骨折における神経損傷合併率（Denis分類別）を答えよ","仙骨翼5.9%、仙骨孔部28%、仙骨管内87%"
"腰仙神経叢を構成する神経は？","第5腰神経、第4腰神経の分枝、第1〜4仙骨神経"
"骨盤後方部骨折で損傷されやすい神経は何か？","坐骨神経と陰部神経（腰仙神経叢）"
"骨盤骨折における腰仙神経叢障害の発生頻度は？","全骨盤骨折で10〜12%、Malgaigne骨折では46%"
"尿道損傷は男女どちらに多いか？","男性（女性の尿道は3〜5cmと短く損傷が少ない）"
"重症骨盤骨折で出血性ショックをきたす骨折部位はどこか？","仙腸関節付近の骨盤後方部"
"仙腸関節付近の骨折で大量出血を起こしやすい理由は何か？","内腸骨動脈分枝が骨盤後方部で骨に近接し、大坐骨切痕通過部で損傷されやすい"
"骨盤骨折で大量出血時の第一選択止血法は何か？","経カテーテル動脈塞栓術（TAE）"
"骨盤骨折で開腹止血を避ける理由は何か？","後腹膜のタンポナーデ効果が解除され術中出血が増加するため"
"寛骨臼は大きく何と何に分けられるか？","前柱と後柱"
"寛骨臼骨折のAO分類でA型はどのような特徴か？","部分関節内骨折で1つの柱のみ損傷"
"AO分類A1型はどの骨折か？","後壁骨折"
"AO分類A2型はどの骨折か？","後柱骨折"
"AO分類A3型はどの骨折か？","前柱または前壁骨折"
"AO分類B型はどのような特徴か？","部分関節内骨折で横骨折成分を含む"
"AO分類B1型はどの骨折か？","単純横骨折"
"AO分類B2型はどの骨折か？","T字状骨折"
"AO分類B3型はどの骨折か？","前柱＋後方半横骨折"
"AO分類C型はどのような特徴か？","完全関節内骨折（両柱骨折）"
"AO分類C1型はどの骨折か？","腸骨骨折高位型で腸骨稜に達する骨折"
"AO分類C2型はどの骨折か？","腸骨骨折高位型で腸骨前縁に達する骨折"
"AO分類C3型はどの骨折か？","仙腸関節に及ぶ骨折"
"尿道口出血がある場合にまず行うべき検査は何か？","尿道造影"
"尿道断裂が確認された場合に必要な処置は何か？","膀胱瘻造設"
"骨盤骨折初期治療でシーツを用いた簡易固定法を何というか？","sheet wrapping法"
"sheet wrapping法の利点は何か？","短時間で骨折部の簡易固定が可能"
"Malgaigne骨折に創外固定のみを用いた場合の問題点は何か？","固定力不足で早期荷重が困難"
"骨盤骨折の死亡原因で最も多いものは何か？","出血"
"骨盤骨折で血行動態が不安定な場合に行うべきことは何か？","緊急安定化（骨盤Cクランプや創外固定）"
"安定型骨折のstraddle骨折にCクランプは使用するか？","使用しない"
"Malgaigne骨折で患側下肢がどの方向に転位するか？","頭側"
"Malgaigne骨折で下肢転位に対して行う処置は何か？","下肢直達牽引"
"骨盤骨折で最も重篤な合併症は何か？","骨盤内出血"
"尿路損傷を伴う骨盤骨折の出血量はどの程度か？","1,000〜3,000mL"
"腹腔内臓器損傷を伴う骨盤骨折の出血量はどの程度か？","3,000〜5,000mL"
"骨盤骨折の出血源として考えられる部位を3つ挙げよ","骨折部、骨盤内静脈叢、内腸骨動脈分枝"
"寛骨臼の前柱はどこからどこまでか？","腸骨稜前部から恥骨まで"
"寛骨臼の後柱はどこからどこまでか？","腸骨下部から坐骨まで"
"寛骨臼を構成する4つの要素は何か？","前柱、後柱、前壁、後壁"
"Letournel分類の基本骨折型を5つ挙げよ","前柱骨折、後柱骨折、前壁骨折、後壁骨折、横骨折"
"Letournel分類の複合骨折型は何型か？","基本骨折2つ以上を含む5型で、合計10型となる"
"寛骨臼骨折で転位がある場合、まず行う処置は何か？","大腿遠位部または脛骨近位部での下肢直達牽引"
"牽引で整復位が得られた場合の治療は何か？","保存療法を継続"
"2〜3日経っても整復位が得られない場合の適応は何か？","観血的整復"
"寛骨臼骨折で大腿骨大転子部からの側方直達牽引が推奨されない理由は何か？","手術時の感染リスクが高くなるため"
"寛骨臼骨折の手術アプローチ選択の基準は何か？","骨折型に応じて後方・前方・拡大または合併アプローチを選択"
"大腿骨頭骨折はどの損傷に合併しやすいか？","股関節後方脱臼"
"Pipkin分類type Iの骨折部位はどこか？","円靱帯付着部より下方"
"Pipkin分類type IIの特徴は何か？","円靱帯付着部を含む骨片を伴う"
"Pipkin分類type IIIの特徴は何か？","type IまたはIIに澒部骨折を伴う"
"Pipkin分類type IVの特徴は何か？","type IまたはIIに臼蓋縁骨折を伴う"
"Pipkin分類で放置可能なことが多い型はどれか？","type I（荷重に影響がなく整復で骨片も整復されることが多い）"
"Pennal分類の基準は何か？","外力の作用方向"
"Pennal分類の3つの外力型は何か？","前後方向圧迫（AP compression）、側方圧迫（lateral compression）、垂直剪断（vertical shear）"
